pemain,sutradara,judul_sinetron
Fero Walandouw,Leo Sutanto,Cinta Dan Anugerah 2
Ketrin Agustine,Leo Sutanto,Cinta Dan Anugerah 2
Giovani Yosafat Tobing,Leo Sutanto,Cinta Dan Anugerah 2
Dude Harlino,Leo Sutanto,Catatan Harian Dinda
Julie Estelle,Leo Sutanto,Catatan Harian Dinda
Mischa Chandrawinata,Leo Sutanto,Catatan Harian Dinda
Naysila Mirdad,Leo Sutanto,Catatan Harian Dinda
Samuel Zylgwyn,Leo Sutanto,Berkah
Meyda Sefira,Leo Sutanto,Berkah
Irish Bella,Leo Sutanto,Berkah
Alexandra Gottardo,Leo Sutanto,Cinta dan Anugerah 2
Nabila Syakieb,Leo Sutanto,Cinta dan Anugerah 2
Arifin Putra,Leo Sutanto,Cinta dan Anugerah 2
Aura Kasih,Leo Sutanto,Cinta dan Anugerah 2
Yasmine Wildblood,Leo Sutanto,Cinta dan Anugerah 2
Jonas Rivanno,Leo Sutanto,Cinta dan Anugerah 2
Fero Walandouw,Leo Sutanto,Cinta dan Anugerah 2
Ketrin Agustine,Leo Sutanto,Cinta dan Anugerah 2
Giovanni L. Tobing,Leo Sutanto,Cinta dan Anugerah 2
Inul Daratista,Leo Sutanto,Gara-Gara Inul
Titiek Puspa,Leo Sutanto,Gara-Gara Inul
Tamara Geraldine,Leo Sutanto,Gara-Gara Inul
Denny Malik,Leo Sutanto,Gara-Gara Inul
Sandra Dewi,Leo Sutanto,Putri Bidadari
Atalarik Syah,Leo Sutanto,Putri Bidadari
Rionaldo Stockhorst,Leo Sutanto,Di Sini Ada Setan (sinetron)
Lia Ananta,Leo Sutanto,Di Sini Ada Setan (sinetron)
Nagita Slavina,Leo Sutanto,Di Sini Ada Setan (sinetron)
Thomas Nawilis,Leo Sutanto,Di Sini Ada Setan (sinetron)
Intan Ayu Purnama,Leo Sutanto,Di Sini Ada Setan (sinetron)
Jennifer Arnelita,Leo Sutanto,Di Sini Ada Setan (sinetron)
Diva Nadia,Leo Sutanto,Di Sini Ada Setan (sinetron)
Fachry Albar,Manoj Punjabi,Tobat Sambel
Laudya Cynthia Bella,Manoj Punjabi,Tobat Sambel
Aiman Ricky,Manoj Punjabi,Tobat Sambel
Indah Indriana,Leo Sutanto,Pembantu dan Tukang Ojek
Nikita Willy,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Anjasmara,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Lucky Perdana,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Rezky Aditya,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Aurelie Moeremans,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Giorgino Abraham,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Bemby Putuanda,Manoj Punjabi,Si Alif Season 2
Desy Ratnasari,Manoj Punjabi,Si Alif Season 2
Donita,Manoj Punjabi,Si Alif Season 2
Joshua Suherman,Leo Sutanto,Magic (sinetron)
Putri Titian,Leo Sutanto,Magic (sinetron)
Lucky Perdana,Leo Sutanto,Magic (sinetron)
Bobby Joseph,Leo Sutanto,Magic (sinetron)
Cut Meyriska,Leo Sutanto,Magic (sinetron)
Nasya Marcella,Leo Sutanto,Magic (sinetron)
Giorgino Abraham,Leo Sutanto,Magic (sinetron)
Aurellie Moeremans,Leo Sutanto,Magic (sinetron)
Mikha Tambayong,Manoj Punjabi,Kinara (sinetron)
Estelle Linden,Manoj Punjabi,Kinara (sinetron)
Dicky Wahyudi,Manoj Punjabi,Kinara (sinetron)
Ajun Perwira,Manoj Punjabi,Kinara (sinetron)
Silvana Herman,Manoj Punjabi,Kinara (sinetron)
Indra Bruggman,Manoj Punjabi,Somad
Zora Vidyanata,Manoj Punjabi,Somad
Rico Karindra,Manoj Punjabi,Somad
Nabila Syakieb,Leo Sutanto,Aqeela dan 3 Bujangan
Baim Wong,Leo Sutanto,Cinta 7 Susun
Cut Memey,Leo Sutanto,Cinta 7 Susun
Mischa Chandrawinata,Leo Sutanto,Cinta 7 Susun
Raya Kohandi,Leo Sutanto,Cinta 7 Susun
Minati Atmanegara,Leo Sutanto,Cinta 7 Susun
Rico Tampatty,Leo Sutanto,Cinta 7 Susun
Malih,Leo Sutanto,Cinta 7 Susun
Gunawan Sudradjat,Leo Sutanto,Cinta 7 Susun
Shandy Ishabella,Leo Sutanto,Cinta 7 Susun
Mario Maulana,Leo Sutanto,Cinta 7 Susun
Devi Noviaty,Leo Sutanto,Cinta 7 Susun
Gege Elisa,Leo Sutanto,Cinta 7 Susun
Sandra Dewi,Leo Sutanto,Sandra Bukan Nabila
Fachry Albar,Leo Sutanto,Sandra Bukan Nabila
Nabila Syakieb,Leo Sutanto,Sandra Bukan Nabila
Christian Sugiono,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Samuel Rizal,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Cut Keke,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Alyssa Soebandono,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Ana Pinem,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Yasmine Wildblood,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Michella Putri,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Chrissie Vanessa,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Stefan William,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Omaswati,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Baim Wong,Leo Sutanto,Diva (sinetron)
Nirina Zubir,Leo Sutanto,Diva (sinetron)
